Station Name,Latitude,Longitude
Adarsh Nagar Delhi ,28.7165805,77.1704223
AIIMS Delhi ,28.5668602,77.2078058
Akshardham Delhi ,28.61784195,77.27948814
Anand Vihar Delhi ,28.6468336,77.3158749
Arjan Garh Delhi ,28.4807352,77.1257622
Arthala Delhi ,28.676927,77.3895843
Ashok Park Main Delhi ,28.6716045,77.155291
Ashram Delhi ,28.5724231,77.2585979
Azadpur Delhi ,28.7070448,77.1803722
Badarpur Border Delhi ,28.4904999,77.3040379
Badkhal Mor,28.4228115,77.3079462
Bahadurgarh City Delhi ,28.6907783,76.9354807
Barakhamba Road Delhi ,28.6304248,77.2238821
Bata Chowk Delhi ,28.6431142,77.2407196
Bhikaji Cama Place Delhi ,28.5702618,77.1878709
Botanical Garden Delhi ,28.5640378,77.3320913
Brigadier Hoshiyar Singh,28.6974603,76.9192027
Central Secretariat Delhi ,28.6158794,77.2122822
Chandni Chowk Delhi ,28.6584227,77.2303375
Chawri Bazar Delhi ,28.6501706,77.2294377
Chhatarpur Delhi ,28.5067242,77.1750019
Chirag Delhi Delhi ,28.5410914,77.2302907
Civil Lines Delhi ,28.6768508,77.2250299
Dabri Mor - Janakpuri South Delhi ,28.6157555,77.085178
Dashrath Puri Delhi ,28.6018751,77.0823561
Delhi Aerocity Delhi ,28.5487982,77.1208089
Delhi Cantonment Delhi ,28.6086496,77.1404515
Delhi Gate Delhi ,28.6392174,77.2407795
Dhansa Bus Stand Delhi ,28.6119097,76.9784769
Dhaula Kuan Delhi ,28.5918905,77.1617034
Dilshad Garden Delhi ,28.6758257,77.3215163
Durgabai Deshmukh South Campus Delhi ,28.58936815,77.16948964
Dwarka Delhi ,28.6149362,77.0227628
Dwarka Mor Delhi ,28.61931,77.0332792
Dwarka Sector 8 Delhi ,28.5656109,77.0670366
Dwarka Sector 9 Delhi ,28.574272,77.0653316
Dwarka Sector 10 Delhi ,28.5810577,77.0574996
Dwarka Sector 11 Delhi ,28.586443,77.0494433
Dwarka Sector 12 Delhi ,28.5922362,77.0407315
Dwarka Sector 13 Delhi ,28.597009,77.0335407
Dwarka Sector 14 Delhi ,28.6022218,77.0259765
Dwarka Sector 21 Delhi ,28.5519218,77.0585605
Delhi Airport Metro Express,28.5564899,77.0867238
East Azad Nagar Delhi ,28.6646964,77.284881
East Vinod Nagar - Mayur Vihar-II Delhi ,28.6200437,77.3054069
Escorts Mujesar,28.3700785,77.31492287
ESI Hospital Delhi ,28.6580737,77.1272678
Ghevra Delhi ,28.6913435,76.9977711
Ghitorni Delhi ,28.493751,77.1491866
Gokulpuri Delhi ,28.7024752,77.2861253
Golf Course Delhi ,28.63906845,77.00014409
Govind Puri Delhi ,28.5443766,77.264266
Greater Kailash Delhi ,28.5418724,77.2384643
