Station Name,Latitude,Longitude
Shenoy Nagar Chennai ,13.0788055,80.2251714
Nehru Park Chennai ,13.0787841,80.250473
Pachaiyappa's College Chennai ,13.0755466,80.2328522
Anna Nagar East Chennai ,13.0845523,80.2196163
Koyambedu Chennai ,13.0734496,80.1948363
Mannadi Chennai ,13.0954465,80.2861312
Tiruvottriyur,13.1708374,80.2938046
Washermanpet Chennai ,13.1089648,80.2820095
Ashok Nagar Chennai ,13.0354768,80.2111075
AG-DMS,13.0446877,80.2458442
Alandur,13.0047176,80.1992728
Guindy Chennai ,13.0086685,80.2126063
Thousand Lights Chennai ,13.0585155,80.2587833
Tiruvottriyur Theradi,13.1600763,80.3001391
Kilpauk Medical College Chennai ,13.0785984,80.2433369
Puratchi Thalaivar Dr. M.G. Ramachandran Central Chennai ,13.0824491,80.2755878
Ekkattuthangal Chennai ,13.0169222,80.2054236
St. Thomas Mount Chennai ,12.99299645,80.18440293
Wimco Nagar Chennai ,13.1796833,80.3054594
Government Estate Chennai ,13.0696345,80.2730362
Egmore Chennai ,13.0728321,80.2576906
Thirumangalam Chennai ,13.0852451,80.2015904
Nandanam Chennai ,13.0317092,80.2411957
Kaladipet Chennai ,13.1506672,80.2993928
Teynampet Chennai ,13.0368003,80.2464194
LIC Chennai ,13.0643716,80.2658465
Arumbakkam Chennai ,13.0616746,80.2116557
Nanganallur Road Chennai ,12.9827844,80.1891661
Sir Theagaraya College Chennai ,13.1157545,80.2847439
Anna Nagar Tower Chennai ,13.0849503,80.2088871
Tollgate Chennai ,13.1431344,80.2963291
Tondiarpet Chennai ,13.1275202,80.2819242
Little Mount Chennai ,13.0146634,80.2241669
CMBT Chennai,13.0685655,80.2016823
High Court Chennai ,13.087208,80.2851562
Chennai International Airport,12.993374,80.17258667
New Washermanpet Chennai ,13.1345195,80.2930011
Saidapet Chennai ,13.0233098,80.2237191
Vadapalani Chennai ,13.0509304,80.2120661
Meenambakkam Chennai ,12.981698,80.1630437
