Station Name,Latitude,Longitude
Salt Lake Sector-V,22.5809434,88.4290872
Rabindra Sadan Kolkata ,22.5414899,88.3473493
City Center Kolkata ,22.5764162,88.41414515
Noapara,22.6398237,88.3941087
Girish Park Kolkata ,22.5871445,88.3629415
Shahid Khudiram Kolkata ,22.4659847,88.3915408
Belgachhia Kolkata ,22.6067775,88.38520149
Bengal Chemical Kolkata ,22.5800666,88.4012962
Karunamoyee,22.58638,88.4215312
Central Kolkata ,22.5724857,88.3587427
Shobhabazar Sutanuti Kolkata ,22.595881,88.3651996
Dakshineswar Kolkata ,22.654827,88.35757762
Gitanjali Kolkata ,22.4706784,88.35538144
Maidan Kolkata ,22.5494672,88.3487883
Shyambazar Kolkata ,22.601335,88.3724974
Baranagar Kolkata ,22.6467949,88.3740078
Netaji Bhavan Kolkata ,22.5331821,88.3459269
Chandni Chowk Kolkata ,22.5670118,88.3541581
Mahanayak Uttam Kumar Kolkata ,22.4947692,88.3450879
Park Street Kolkata ,22.5551591,88.3501171
Kalighat Kolkata ,22.5168752,88.3458448
Jatin Das Park Kolkata ,22.5241535,88.3464729
Mahatma Gandhi Road Kolkata ,22.5809206,88.3613271
Kavi Subhash Kolkata ,22.472016,88.3979047
Rabindra Sarobar Kolkata ,22.5072216,88.3454936
Masterda Surya Sen Kolkata ,22.47358645,88.36067318
Netaji Kolkata ,22.4809928,88.3460002
Phoolbagan Kolkata ,22.5721451,88.3902926
Salt Lake Stadium Kolkata ,22.5730672,88.403089
Kavi Nazrul Kolkata ,22.4642505,88.3804604
Esplanade Kolkata ,22.5636143,88.3512099
Dum Dum Kolkata ,22.6211141,88.3928973
Central Park Kolkata ,22.4891514,88.40683779
