Station Name,Latitude,Longitude
Azad Nagar Mumbai ,19.12691015,72.8376484
Devipada Mumbai ,19.2251446,72.86453
Dhamankar Naka,19.2856509,73.0478861
Santacruz Mumbai ,19.0928172,72.85696047
Kalyan Railway Station Mumbai ,19.2358216,73.1308101
"MTNL, BKC Mumbai ",19.0661715,72.8564666
Mahindra & Mahindra Mumbai ,19.20328105,72.86903262
Bhiwandi Mumbai ,19.3025562,73.0588072
Diamond Garden Mumbai ,19.0531011,72.90044137
Kandivali Mumbai ,19.204159,72.8516821
Darukhana Mumbai ,18.9770363,72.8490768
Eastern Express Highway Mumbai ,19.1684083,72.9664128
Mahapalika Marg Mumbai ,19.1971776,72.9694962
Bhakti Park Mumbai ,19.028972,72.8775722
Sonapur Mumbai ,19.1628583,72.934172
Pisavali Gaon,19.2183159,73.1151075
Ganesh Nagar Mumbai ,19.1515483,72.9300624
Subhash Chandra Bose Stadium,19.1119039,72.8564904
Science Museum Mumbai ,18.9899934,72.81748384
Dahisar Mumbai ,19.1588793,72.8352813
Rambaug Mumbai ,19.2171854,72.8512981
Gandhi Nagar Mumbai ,19.05804,72.8472584
Cadbury Junction Mumbai ,19.2045085,72.9688041
Kanjurmarg Mumbai ,19.1296868,72.9283701
"ILFS, BKC",19.0598654,72.8526357
Kasarvadavali,19.26971,72.9633776
Amar Mahal Junction Mumbai ,19.067405,72.8999983
Sewri Mumbai ,18.9987796,72.8544218
Airport Colony Mumbai ,19.0901312,72.86370319
Dombivali MIDC Mumbai ,19.19676975,73.07475223
Khira Nagar Mumbai ,19.0858599,72.8364813
Vikhroli Mumbai ,19.1114795,72.928021
Charkop Mumbai ,19.2141193,72.8258652
Suman Nagar Mumbai ,19.0538777,72.8849189
MIDC Mumbai ,19.1205119,72.8646365
CSMIA International,19.0996067,72.8723819
Turbhe Mumbai ,19.0761648,73.01766154
SG Barve Marg Mumbai ,19.0759254,72.8774422
Clock Tower Mumbai ,18.9345311,72.8357563
Acharya Atrey Chowk,18.9979058,72.8002059
Deepak Hospital Mumbai ,19.2928354,72.8616136
Taloja Mumbai ,19.0614859,73.1161392
Kasheli Mumbai ,19.23916135,73.01482793
Swami Samarth Nagar Mumbai ,19.1776516,72.9804826
Income Tax Office Mumbai ,19.0589931,72.8547228
Powai Lake Mumbai ,19.1277203,72.9062795
Aarey Colony Mumbai ,19.1503904,72.87426783
Garodia Nagar Mumbai ,19.0742044,72.909477
Rushi Sankul Mumbai ,19.2567647,72.8507957
Amar Palace,19.1076144,72.8714276
Sagaon Mumbai ,19.5077378,73.1453948
Wadi Bunder Mumbai ,18.9764347,72.8319417
National College Mumbai ,19.0648223,72.8373113
Purna Mumbai ,19.2563367,73.0277538
Airport Road Mumbai ,19.1101296,72.87418282
Laxmi Nagar Mumbai ,19.0908037,72.9167981
Dadar Mumbai ,19.0177342,72.8437523
Bangur Nagar Mumbai ,19.1688142,72.8336777
Kashimira Mumbai ,19.2755399,72.8841851
Shyam Nagar Mumbai ,19.137156,72.8614676
Durgadi Fort Mumbai ,19.2452962,73.1186797
Adarsh Nagar Mumbai ,19.0622146,72.8289581
Jagruti Nagar Mumbai ,19.0925442,72.90195182
Balkum Naka,19.2213881,72.9871703
Eksar LIC Colony,19.2332203,72.8462072
Sahar Road Mumbai ,19.1021618,72.86531043
Mulund Naka Mumbai ,19.18376195,72.95449593
Mandala Mumbai ,19.0532557,72.9377326
Waklan Mumbai ,19.1394189,73.0935129
Shivaji Chowk Mumbai ,19.1599476,73.2391224
