Station Name,Latitude,Longitude
Secunderabad East Hyderabad ,17.4357184,78.5054623
Peddamma Gudi Hyderabad ,17.4306512,78.4083721
Erragadda Hyderabad ,17.4570487,78.4335811
Moosapet Hyderabad ,17.4718855,78.4261182
Taruni Madhura Nagar Hyderabad ,17.4369652,78.4390993
RTC X Roads,17.407654,78.4926726
Durgam Cheruvu Hyderabad ,17.4429466,78.3875721
Lakdi-ka-pul Hyderabad ,17.4038328,78.4635019
S.R. Nagar Hyderabad ,17.4431205,78.4407241
Secunderabad West Hyderabad ,17.4338034,78.4995181
Rasoolpura Hyderabad ,17.4471569,78.4786038
Chikkadpally Hyderabad ,17.4003634,78.4948964
Begumpet Hyderabad ,17.4386951,78.4580969
Miyapur Hyderabad ,17.4965452,78.3730262
Sultan Bazaar Hyderabad ,17.4026882,78.4673252
Chaitanyapuri Hyderabad ,17.3681501,78.5381335
Kukatpally Hyderabad ,17.4849033,78.4117896
Assembly Hyderabad ,17.3979907,78.4708797
JBS Parade Ground,17.4444661,78.4952743
Gandhi Bhavan Hyderabad ,17.3858253,78.4733347
Irrum Manzil Hyderabad ,17.4202292,78.4563489
Khairatabad Hyderabad ,17.4116323,78.4608678
HITEC City Hyderabad ,17.4490055,78.3831376
New Market Hyderabad ,17.3734454,78.5031791
Victoria Memorial Hyderabad ,17.3618565,78.5439622
Musheerabad Hyderabad ,17.4178744,78.4995051
LB Nagar Hyderabad ,17.3501617,78.5510938
Road No 5 Jubilee Hills Hyderabad ,17.4300489,78.4232069
Gandhi Hospital Hyderabad ,17.4255155,78.501956
KPHB Colony Hyderabad ,17.4937602,78.4018258
Musarambagh Hyderabad ,17.3710873,78.5119545
Uppal Hyderabad ,17.4000665,78.5601868
Tarnaka Hyderabad ,17.4274418,78.5300079
Raidurg Hyderabad ,17.44218,78.3771978
Malakpet Hyderabad ,17.3771888,78.4939356
Madhapur Hyderabad ,17.4372637,78.4004257
ESI Hospital Hyderabad ,17.4486969,78.4376283
Ameerpet Hyderabad ,17.4352864,78.4447834
MG Bus Station,17.3798581,78.483794
Osmania Medical College Hyderabad ,17.3820769,78.4817011
Paradise Hyderabad ,17.4434668,78.4862436
Dr. B. R. Ambedkar Balanagar,17.4767373,78.4198716
Jubilee Hills Check Post,17.4264632,78.4154416
Narayanaguda Hyderabad ,17.3943658,78.4899578
NGRI Hyderabad ,17.4148264,78.5463345
Punjagutta Hyderabad ,17.426689,78.4524212
Parade Ground Hyderabad ,17.44506125,78.49356643
Prakash Nagar Hyderabad ,17.4448889,78.4658749
Bharat Nagar Hyderabad ,17.4629092,78.4305364
Yusufguda Hyderabad ,17.4351132,78.4273216
JNTU College Hyderabad ,17.4987037,78.3888668
Nagole Hyderabad ,17.3907683,78.5588222
Mettuguda Hyderabad ,17.4355207,78.5195754
Nampally Hyderabad ,17.392222,78.4701612
Habsiguda Hyderabad ,17.42018,78.540548
Dilsukhnagar Hyderabad ,17.3684433,78.5228597
Stadium Hyderabad ,17.4074002,78.5542531
