Station Name,Latitude,Longitude
Azad Nagar Mumbai ,19.12691015,72.8376484
Devipada Mumbai ,19.2251446,72.86453
Dhamankar Naka,Not Found,Not Found
Santacruz Mumbai ,19.0928172,72.85696046654412
Kalyan Railway Station Mumbai ,19.2358216,73.1308101
"MTNL, BKC Mumbai ",19.0661715,72.8564666
Mahindra & Mahindra Mumbai ,19.20328105,72.86903261844235
Bhiwandi Mumbai ,19.3025562,73.0588072
Diamond Garden Mumbai ,19.0531011,72.90044137063389
Kandivali Mumbai ,19.204159,72.8516821
Darukhana Mumbai ,18.9770363,72.8490768
Eastern Express Highway Mumbai ,19.1684083,72.9664128
Mahapalika Marg Mumbai ,19.1971776,72.9694962
Bhakti Park Mumbai ,19.028972,72.8775722
Sonapur Mumbai ,19.1628583,72.934172
Pisavali Gaon,Not Found,Not Found
Ganesh Nagar Mumbai ,19.1515483,72.9300624
Subhash Chandra Bose Stadium,28.039505,76.0982859
Pisarve Depot,Not Found,Not Found
Science Museum Mumbai ,18.9899934,72.81748384444445
Dahisar Mumbai ,19.1588793,72.8352813
Rambaug Mumbai ,19.2171854,72.8512981
Gandhi Nagar Mumbai ,19.05804,72.8472584
Cadbury Junction Mumbai ,19.2045085,72.9688041
Rajnouli Village,Not Found,Not Found
Kanjurmarg Mumbai ,19.1296868,72.9283701
"ILFS, BKC",Not Found,Not Found
Kasarvadavali,Not Found,Not Found
Amar Mahal Junction Mumbai ,19.067405,72.8999983
Sewri Mumbai ,18.9987796,72.8544218
Airport Colony Mumbai ,19.0901312,72.86370318520977
Dombivali MIDC Mumbai ,19.19676975,73.07475222972616
Khira Nagar Mumbai ,19.0858599,72.8364813
Vikhroli Mumbai ,19.1114795,72.928021
Charkop Mumbai ,19.2141193,72.8258652
Suman Nagar Mumbai ,19.0538777,72.8849189
MIDC Mumbai ,19.1205119,72.8646365
CSMIA International,Not Found,Not Found
Turbhe Mumbai ,19.0761648,73.01766154369602
SG Barve Marg Mumbai ,19.0759254,72.8774422
Clock Tower Mumbai ,18.9345311,72.8357563
Acharya Atrey Chowk,Not Found,Not Found
Deepak Hospital Mumbai ,19.2928354,72.8616136
Taloja Mumbai ,19.0614859,73.1161392
Kasheli Mumbai ,19.23916135,73.01482792908541
Swami Samarth Nagar Mumbai ,19.1776516,72.9804826
Income Tax Office Mumbai ,19.0589931,72.8547228
Powai Lake Mumbai ,19.1277203,72.90627950131966
Aarey Colony Mumbai ,19.1503904,72.87426783008218
Garodia Nagar Mumbai ,19.0742044,72.909477
Rushi Sankul Mumbai ,19.2567647,72.8507957
Amar Palace,49.5338321,8.5825729
Sagaon Mumbai ,19.5077378,73.1453948
Wadi Bunder Mumbai ,18.9764347,72.8319417
National College Mumbai ,19.0648223,72.8373113
Purna Mumbai ,19.2563367,73.0277538
Airport Road Mumbai ,19.1101296,72.87418282271501
Laxmi Nagar Mumbai ,19.0908037,72.9167981
Dadar Mumbai ,19.0177342,72.8437523
Hedutane,Not Found,Not Found
Bangur Nagar Mumbai ,19.1688142,72.8336777
Kashimira Mumbai ,19.2755399,72.8841851
Shyam Nagar Mumbai ,19.137156,72.8614676
Durgadi Fort Mumbai ,19.2452962,73.1186797
Adarsh Nagar Mumbai ,19.0622146,72.8289581
Jagruti Nagar Mumbai ,19.0925442,72.9019518245769
Balkum Naka,Not Found,Not Found
Vadavali,Not Found,Not Found
Eksar LIC Colony,19.2332203,72.8462072
Golavali,Not Found,Not Found
Sahar Road Mumbai ,19.102161799999998,72.8653104305769
