,Cluster,Population,Cluster Distance,Latitude,Longitude,Station Name,Degree,Area (km^2)
0,0,93312,6.761399735586695,21.254576911111112,81.64243486666666,1,3,16.09
1,1,5522,4.500981796275925,21.2007261,81.78895846666667,2,1,16.380000000000003
2,2,53553,2.41513941180301,21.2539578,81.56593215000001,3,1,15.239999999999998
3,3,14504,3.2814304750835945,21.1327578,81.73928025000001,4,1,40.54
4,4,10785,3.1104706539099034,21.3079113,81.74020455,5,2,17.98
5,5,58461,2.0639412962548063,21.208907775,81.628103275,6,1,11.95
6,6,34821,3.5439223485063547,21.13957284,81.78438382,7,2,3.18
7,7,22206,4.678178133375604,21.20694725,81.66456389999999,8,3,12.75
8,8,261987,2.9197834175776096,21.30980885,81.5995573,9,1,58.35
9,9,40764,9.269830251856565,21.2651693,81.66901625,10,3,15.35
10,10,76561,8.184568634292654,21.23397977,81.63491089,11,3,9.43
11,11,2817,0.0,21.314799,81.787518,12,1,7.98
12,12,38505,6.033279220687961,21.23638455,81.61437323333334,13,2,5.05
13,13,7512,2.311396109506453,21.17289483333333,81.77032666666666,14,3,5.5
14,14,15729,0.0,21.2835212,81.6024518,15,3,2.57
15,15,70344,3.461023899720882,21.262585666666663,81.59124126666666,16,2,13.28
16,16,19014,0.6152963973788033,21.2115801,81.69741755,17,2,22.94
17,17,2471,0.0,21.1580233,81.6559087,18,1,3.73
18,18,59005,1.0815419120554552,21.30363975,81.65050875,19,1,13.79
19,19,6024,0.0,21.2005224,81.7402792,20,2,2.95
20,20,62995,3.523665782812089,21.2700471,81.623164125,21,2,12.87
21,21,75372,6.4506082683486525,21.237710328571428,81.66563274285714,22,1,15.4
22,22,3524,1.9349689792981395,21.16449855,81.79311565,23,2,4.27
23,23,72225,2.0446750920816936,21.22140744,81.64910768,24,4,7.07
24,24,77659,2.636271399736497,21.2348173,81.5891374,25,1,15.45
