,Cluster,Population,Cluster Distance,Latitude,Longitude,Station Name,Degree,Area (km^2)
0,0,108833,4.781169035235509,21.24513892,81.58406790000002,1,2,26.74
1,1,6024,0.0,21.2005224,81.7402792,2,2,2.95
2,2,83442,3.514680209868169,21.220168671428567,81.64744745714286,3,4,8.45
3,3,10785,3.110470653855235,21.293952,81.7392679,4,2,17.98
4,4,40524,10.42204960523191,21.13976885,81.787202775,5,1,19.47
5,5,51413,1.869622105471183,21.27451655,81.62637517499999,6,2,11.48
6,6,2471,0.0,21.1580233,81.6559087,7,1,3.73
7,7,83394,0.0,21.3095552,81.5854673,8,1,16.22
8,8,60657,10.70287896846233,21.26152292307692,81.67010238461538,9,2,18.91
9,9,40704,5.184693097306638,21.247036800000004,81.61823441666667,10,1,5.28
10,10,21258,13.200190336886266,21.17517730909091,81.77699560909092,11,3,39.92
11,11,19014,0.6152963973474874,21.2134241,81.695205,12,2,22.94
12,12,59005,1.081541912054698,21.3084999,81.650322,13,1,13.79
13,13,4101,2.185592465026277,21.198611,81.8050776,14,1,10.48
14,14,2817,0.0,21.314799,81.787518,15,1,7.98
15,15,75608,4.093283437423474,21.2552743625,81.6434625125,16,3,13.65
16,16,61356,6.882323224026125,21.23391494285714,81.66544255714285,17,2,14.01
17,17,15729,0.0,21.2835212,81.6024518,18,3,2.57
18,18,58461,2.166234215477932,21.20736803333333,81.63120866666665,19,2,11.95
19,19,22379,0.0,21.2590702,81.5556516,20,1,3.95
20,20,25993,3.806343405275879,21.226833666666664,81.61827683333333,21,2,3.45
21,21,16329,3.4780690120488424,21.19902874285714,81.65934942857142,22,2,10.58
22,22,70344,3.4286092579245606,21.26269403333333,81.59073269999999,23,2,13.28
23,23,178593,0.0,21.3100625,81.6136473,24,3,42.13
24,24,66438,8.577339948446138,21.23918054,81.64130863999999,25,2,8.2
