ID,Pin Code,Name,Latitude,Longitude,Population,Area (km)
1,492004,Shankar Nagar,21.249373,81.6654295,19893,3.56
2,492007,Mowa,21.274871,81.6340548,26767,7.93
3,492001,Mahaveer Nagar,21.2268933,81.6630326,15246,3.97
4,492007,New Shanti Nagar,21.246982,81.6474888,5129,0.31
5,492101,Nardaha,21.293952,81.7392679,6575,14.15
6,492007,VIP Colony,21.2587129,81.6755054,5081,1.56
7,492001,New Rajendra Nagar,21.219273,81.6502237,13291,2.38
8,492001,LIC Colony,21.2652312,81.6712522,7129,0.68
9,492001,Pachpedi Naka,21.2157998,81.6476017,8608,1.82
10,492001,Budhapara,21.2335603,81.6298741,2727,0.73
11,492003,Gondwara,21.2835212,81.6024518,15729,2.57
12,492003,Birgoan,21.3095552,81.5854673,83394,16.22
13,492001,Shatabdi Nagar,21.2382298,81.662007,7225,0.52
14,492001,Byron Bazar,21.2339211,81.6397139,4026,0.5
15,492014,Shrinagar,21.2710197,81.619547,19839,2.75
16,492012,Kachana,21.2666015,81.6875068,2337,1.09
17,493225,Pacheda-1,21.314799,81.787518,2817,7.98
18,492001,Nayapara,21.2415248,81.6318479,2719,0.24
19,492001,RDA Colony,21.227519,81.6332869,4210,0.58
20,492001,Doongaji Colony,21.2418823,81.610633,1690,0.27
21,492001,Pandri,21.2547129,81.6425017,9419,1.18
22,492099,Tatibandh,21.2590702,81.5556516,22379,3.95
