Station Name :  Salt Lake Sector-V Latitude :  22.5809434 Longitude :  88.4290872
Station Name :  Rabindra Sadan Kolkata  Latitude :  22.5414899 Longitude :  88.3473493
Station Name :  City Center Kolkata  Latitude :  22.5764162 Longitude :  88.41414515
Station Name :  Noapara Latitude :  22.6398237 Longitude :  88.3941087
Station Name :  Girish Park Kolkata  Latitude :  22.5871445 Longitude :  88.3629415
Station Name :  Shahid Khudiram Kolkata  Latitude :  22.4659847 Longitude :  88.3915408
Station Name :  Belgachhia Kolkata  Latitude :  22.6067775 Longitude :  88.38520148885908
Station Name :  Bengal Chemical Kolkata  Latitude :  22.5800666 Longitude :  88.4012962
Station Name :  Karunamoyee Latitude :  22.58638 Longitude :  88.4215312
Station Name :  Central Kolkata  Latitude :  22.5724857 Longitude :  88.3587427
Station Name :  Shobhabazar Sutanuti Kolkata  Latitude :  22.595881 Longitude :  88.3651996
Station Name :  Dakshineswar Kolkata  Latitude :  22.654827 Longitude :  88.35757762289637
Station Name :  Gitanjali Kolkata  Latitude :  22.470678399999997 Longitude :  88.35538143911252
Station Name :  Maidan Kolkata  Latitude :  22.5494672 Longitude :  88.3487883
Station Name :  Shyambazar Kolkata  Latitude :  22.601335 Longitude :  88.3724974
Station Name :  Baranagar Kolkata  Latitude :  22.6467949 Longitude :  88.3740078
Station Name :  Netaji Bhavan Kolkata  Latitude :  22.5331821 Longitude :  88.3459269
Station Name :  Chandni Chowk Kolkata  Latitude :  22.5670118 Longitude :  88.3541581
Station Name :  Mahanayak Uttam Kumar Kolkata  Latitude :  22.4947692 Longitude :  88.3450879
Station Name :  Park Street Kolkata  Latitude :  22.5551591 Longitude :  88.3501171
Station Name :  Kalighat Kolkata  Latitude :  22.5168752 Longitude :  88.3458448
Station Name :  Jatin Das Park Kolkata  Latitude :  22.5241535 Longitude :  88.3464729
Station Name :  Mahatma Gandhi Road Kolkata  Latitude :  22.5809206 Longitude :  88.3613271
Station Name :  Kavi Subhash Kolkata  Latitude :  22.472016 Longitude :  88.3979047
Station Name :  Rabindra Sarobar Kolkata  Latitude :  22.5072216 Longitude :  88.3454936
Station Name :  Masterda Surya Sen Kolkata  Latitude :  22.47358645 Longitude :  88.36067318196297
Station Name :  Netaji Kolkata  Latitude :  22.4809928 Longitude :  88.3460002
Station Name :  Phoolbagan Kolkata  Latitude :  22.5721451 Longitude :  88.3902926
Station Name :  Salt Lake Stadium Kolkata  Latitude :  22.5730672 Longitude :  88.403089
Station Name :  Kavi Nazrul Kolkata  Latitude :  22.4642505 Longitude :  88.3804604
Station Name :  Esplanade Kolkata  Latitude :  22.5636143 Longitude :  88.3512099
Station Name :  Dum Dum Kolkata  Latitude :  22.6211141 Longitude :  88.3928973
Station Name :  Central Park Kolkata  Latitude :  22.489151399999997 Longitude :  88.40683779448923
